question,difficulty,answer1,answer2,answer3,answer4,correctAnswer
Write the number 7458 in words.,Easy,a) Seven thousand four hundred and fifty-eight,b) Seventy-four fifty-eight,c) Seven thousand four hundred fifty-eight,d) Seven hundred forty-five eight,c) Seven thousand four hundred fifty-eight
Divide 567 by 9.,Easy,a) 74,b) 63,c) 81,d) 52,b) 63
Express 25% as a decimal.,Easy,a) 0.025,b) 0.25,c) 2.5,d) 25.0,b) 0.25
How many sides does a hexagon have?,Easy,a) 6,b) 8,c) 6,d) 4,a) 6
Convert 2.5 kilometers to meters.,Easy,a) 250,b) 2500,c) 25000,d) 2.05,b) 2500
If you have a set of numbers: 5 - 7 - 3 - 5 - 8 - 6 - what is the mode?,Easy,a) 7,b) 5,c) 8,d) 3,b) 5
Write the number 628 in Roman numerals.,Medium,a) LXII,b) DCXXVIII,c) DCCXXVIII,d) DXXVIII,b) DCXXVIII
If x=8 and y=15 - what is x+y?,Medium,a) 23,b) 13,c) 23,d) 35,a) 23
Calculate (47×36 + 47×36) / 2.,Medium,a) 1712,b) 1612,c) 1692,d) 1792,a) 1712
Divide 896 by 14.,Medium,a) 58,b) 64,c) 72,d) 81,b) 64
Subtract 5885​ from 3443​.,Medium,a) -1881,b) -2552,c) -2442,d) -2332​,c) -2442
Multiply 3.6 by 2.5.,Medium,a) 9.0,b) 8.6,c) 9.0,d) 8.4,a) 9.0
If 20% of a number is 40 - what is the number?,Medium,a) 120,b) 200,c) 240,d) 160,a) 120
Calculate the perimeter of a rectangle with length 12 cm and width 8 cm.,Medium,a) 28 cm,b) 32 cm,c) 40 cm,d) 48 cm,a) 28 cm
A rectangular box has dimensions 5 cm by 3 cm by 7 cm. What is its volume?,Medium,a) 120 cm³,b) 105 cm³,c) 100 cm³,d) 150 cm³,a) 105 cm³
Calculate the median of the set of numbers: 5 - 7 - 3 - 6 - 8 - 10.,Medium,a) 6,b) 6.5,c) 7,d) 8,b) 6.5
If the ratio of boys to girls in a class is 3:5 and there are 24 students in total - how many boys are there?,Medium,a) 8,b) 9,c) 15,d) 18,a) 8
27p=270 - what is the value of p?,Medium,a) 6,b) 8,c) 10,d) 12,a) 6
One angle in a triangle is 45° and another angle is 90° - what is the measure of the third angle?,Medium,a) 30°,b) 45°,c) 60°,d) 45°,a) 30°
Find the area of a square with a side length of 9 meters.,Medium,a) 72 m²,b) 81 m²,c) 90 m²,d) 100 m²,b) 81 m²
Given the set of numbers: 15 - 22 - 10 - 18 - 25 - what is the range?,Medium,a) 4,b) 10,c) 6,d) 3,b) 10
If the original price of an item was £65 and it is now on sale for 25% off - what is the sale price?,Hard,a) £51.25,b) £48.75,c) £48.75,d) £56.25,b) £48.75
Calculate (78.23 × 45.6 + 78.23 × 45.6) / 2.,Hard,a) 3568.088,b) 4076.088,c) 3567.288,d) 3678.088,a) 3568.088
Divide 4596 by 17 and express the result in decimal form rounded to two decimal places.,Hard,a) 270.35,b) 270.35,c) 269.82,d) 269.47,a) 270.35
Given the set of numbers: 18 - 25 - 22 - 15 - 10 - find the interquartile range.,Hard,a) 5,b) 7,c) 11,d) 10,c) 11
Divide 4.56 by 0.08.,Hard,a) 57,b) 64,c) 57.0,d) 640,a) 57
Write the prime factorization of 144.,Hard,a) 2² × 3³,b) 2³ × 3²,c) 2⁴ × 3²,d) 2⁵ × 3,a) 2² × 3³
Solve the following equation for x: 4x+9=21.,Hard,a) 3,b) 3.25,c) 4,d) 4.5,c) 4
